搜尋詞,Rank,coupom,relevancy ,tf-idf,relevancy ,semantic_model,relevancy 
兒童水杯,2,"b.box 防漏學習水杯 240ml, 小鹿斑比, 6個月以上, 1個",2,"sillymann 吸管兒童水杯 250ml, 蜜蜂, 1個",2,"kitchen U 動物故事兒童雙層不鏽鋼水杯, 1個, 混色, 160ml",2
兒童水杯,3,"b.box 防漏學習水杯, 波蘿綠, 240ml, 1個",2,"LILFANT Kiyo 兒童雙色手柄水杯, 1個, 混色",2,"kitchen U 兒童防滑手柄不銹鋼水杯, 1個, 混色, 270ml",2
兒童水杯,4,"PUKU 藍色企鵝 Tritan彩虹糖水杯 330ml, 皇家象, 1個",2,"LILFANT 兒童 Pochacco 雙色手柄水杯, 混色, 2個",2,"rice 兒童水杯 小 170ml, 恐龍派對, 1個",2
兒童水杯,5,"ERiC CARLE 艾瑞卡爾 雙層不鏽鋼杯 附密封蓋, 白色, 1組",2,"munchkin 兒童夜光水杯 266.2ml, 1份, 隨機出貨",2,"kitchen U 動物故事兒童防滑不鏽鋼水杯, 1個, 混色",2
兒童水杯,6,"Skater 堆疊杯 恐龍 KS31 220ml 3入, 1組",2,"Skater 美耐皿兒童水杯 M310 230ml, 米奇, 1個",2,"孩童造型矽膠雙耳水杯, 黃色, 2入",2
兒童水杯,7,"b.box 學飲杯, 1個, 240ml",2,"Skater 美耐皿兒童水杯 M310 230ml, 小飛象, 1個",2,"nestique 孩童用水杯 200ml 3入組, 檸檬黃+橄欖綠+淺藍色, 1組",2
兒童水杯,8,"Skater 寬底吸管杯 370ml, 粉紅派對, 1個",2,"Skater 美耐皿兒童水杯 M310, 新幹線, 230ml, 1個",2,"aizoum Baby Shark 兒童水滴手柄水杯, 混色, 3個, 240ml",2
兒童水杯,9,"Richell 利其爾 TLI 360度防漏水杯, 200ml, 1個, 泡沫之夏",2,"aizoum Baby Shark 兒童水滴手柄水杯, 混色, 5個, 240ml",2,"sillymann 100%鉑金矽膠 兒童專用雙手握把喝水學習杯 220ml, 檸檬黃, 2個",2
兒童水杯,10,"Richell 利其爾 AQ恐龍世界水杯 含底座 7個月以上, 320ml, 1個",2,"IZOUM 兒童無閃粉槽防滑不銹鋼水杯 300ml, 2個, 混色",2,"LILFANT 兒童Sanrio Kiyo雙色手柄水杯, 1個, 美樂蒂",2
冰溫空調,1,"R4U冷暖壁掛空調防風罩2號白灰, 1個, 單品",2,"壁掛式空調防塵罩, 混色",2,"空調系統溫濕度獨立控制（厚）精裝, 施普林格",2
冰溫空調,2,"Gatsu 高級隔熱空調室外機罩 2p, 單品, 1個",2,"呼吸空調擋風玻璃空調機翼防護A型, 單品, 1個",2,"創世紀GV60調音空調成型蓋, 碳, 冷氣機",2
冰溫空調,3,"冷氣室外機隔熱墊, 1入",2,"元山 蒸汽式冰溫熱開飲機 12.2L 18.5kg, YS-9980DWIE",2,"夏季商店空調室外機支架塊類型 2 階段, 單品, 4個",2
冰溫空調,4,"MiCRONiCS 空氣冷卻器 ICEROCK MA-410, 黑色",2,"立式空調導流板, 單品, 1個",2,"壁掛式空調風控裝置空調控制器透明 70 x 16 cm, 單品",2
冰溫空調,5,"comet 冷氣室外機鋁製防雨罩, 單品, 1個",2,"YENSUN 元山 桶裝式冰溫熱飲水機 324 x 352 x 560mm 15g, YS-8201BWIB",2,"LG LG 一體式萬用空調遙控器 空調及暖氣系統遙控器, IRD-222, 1個",2
冰溫空調,6,"WINDXING 冷氣機, 單品, 1套",2,"HSAE 空調清潔噴霧, 450ml, 1瓶",2,"FOULON 5區3代空調室外機節電頂蓋, 銀色",2
冰溫空調,7,"Bestom 三級高度可調折疊降溫網, 1個",2,"MG空調擋風天鵝, 單品",2,"夏季商店空調室外機支架直式 520, 單品, 2個",2
冰溫空調,8,"CHEFMADE 多用長方形降溫網 黑色, 1個",2,"車用USB空調降溫坐墊, 單色",2,"壁掛式空調風向控制空氣控制器透明 70 x 20 厘米, 單品",2
冰溫空調,9,"Alpha Commerce 夏季車載辦公室降溫冰墊, 灰色",2,"空調室外機節電罩, 混色",2,"天花板系統空調風向控制裝置空氣控制器4way 4p, 單品",2
冰溫空調,10,"降溫涼墊+枕套 2入, 孔雀藍",2,"Naver 壁掛式空調遙控器收納盒, 1個",2,"The Zari 立式冷空調罩, 閃爍白色",2
冰箱鎖,1,"冰箱防開安全鎖組 帶型, 5入, 灰色",2,"冰箱安全鎖, 5入, 單色",2,"冰箱防開安全鎖組, 2入, 灰色",2
冰箱鎖,2,"冰箱防開安全鎖 夾型, 5入, 灰色",2,"CHANEAC 多用冰箱鎖, 2個",2,"我的秘密之家冰箱鎖白色, 1套",2
冰箱鎖,3,"dreambaby 冰箱安全扣 F802, 單色",2,"SUNFLOWER安全鎖泰迪熊冰箱, 2件",2,"冰箱防開安全鎖組 帶型, 5入, 灰色",2
冰箱鎖,4,"冰箱防開安全鎖組 帶型, 5入, 灰色",2,"Aiel 冰箱防開安全鎖, 白色的, 3個",2,"CHANEAC 多用冰箱鎖, 2個",2
冰箱鎖,5,"冰箱防開安全鎖組 磁鐵型, 白色, 1組",2,"我的秘密之家冰箱鎖白色, 1套",2,"Preppy 無孔冰箱鎖裝置數位方形白色, 1個",2
冰箱鎖,6,"Aiel 冰箱防開安全鎖, 白色的, 3個",2,"冰箱防開安全鎖 夾型, 5入, 灰色",2,"櫥櫃密碼掛鎖 12cm 紅色, 1個",2
冰箱鎖,7,"我的秘密之家冰箱鎖黑色, 1組, 黑色",2,"Aiel 冰箱防開安全鎖, 隨機發貨, 1個",2,"SUNFLOWER安全鎖泰迪熊冰箱, 2件",2
冰箱鎖,8,"冰箱鎖鎖, 2個",2,"我的秘密之家冰箱鎖黑色, 1組, 黑色",2,"多用途冰箱蓋雙門, 羽毛款",2
冰箱鎖,9,"Coco 開關式兒童抽屜鎖, 6個",2,"小熊造型櫃門安全鎖 6入+冰箱磁鐵 3入, 1組",2,"Langwoojeong 彩色圓點馬卡龍冰箱門磁 8p, 紫色",2
冰箱鎖,10,"BUSYANGEL 櫃門專用安全扣, 白色的, 6件",2,"Stump Friends 11 窗戶冰箱安全鎖方形白色, 1個",2,"樹樁朋友窗戶冰箱燈安全鎖方形黑色, 1個",2
冰茶,1,"JARDIN Cafereal 水蜜桃冰茶, 230ml, 10包",2,"Capri-Sun 蜜桃冰茶+蘋果冰茶+柳橙冰茶 各10包, 200ml, 30包",2,"泰山 冰鎮 葡萄鮮冰茶, 250ml, 48入",2
冰茶,2,"McNulty Coffee 桃子冰茶, 190ml, 10入",2,"水蜜桃冰茶濃縮液, 600g, 2個",2,"Arizona 檸檬風味冰茶, 680ml, 3罐",2
冰茶,3,"TIO 桃子冰茶隨身包, 13g, 40包, 1盒",2,"水蜜桃冰茶濃縮液, 600g, 3個",2,"泰山 冰鎮 葡萄鮮冰茶, 250ml, 120入",2
冰茶,4,"CAFFE BENE 咖啡伴 蜜桃冰茶飲, 190ml, 10入",2,"冰茶檸檬口味, 13g, 18入, 3個",2,"泰山 冰鎮 葡萄鮮冰茶, 250ml, 24入",2
冰茶,5,"泰山 冰鎮 葡萄鮮茶, 535ml, 24瓶",2,"檸檬水加冰茶, 1個, 355ml",2,"雙溪明茶綠茶冰茶10p, 2盒, 1.5g",2
冰茶,6,"JARDIN Cafereal 水蜜桃冰茶, 230ml, 20包",2,"水蜜桃冰茶濃縮液, 600克, 1個",2,"Bokumjari 零桃冰茶, 1.58L, 2個",2
冰茶,7,"McNulty Coffee ZERO青葡萄冰茶, 1盒, 13ml",2,"Sweetcup 冰茶藍, 1kg, 1包",2,"雙溪明茶綠茶冰茶10p, 1盒, 1.5g",2
冰茶,8,"Ice Talk 水蜜桃冰茶, 230ml, 10入",2,"冰茶桃, 14g, 40條, 2盒",2,"無糖水蜜桃冰茶沖泡飲隨身包, 15g, 10條, 1盒",2
冰茶,9,"RICO 紅牌 檸檬紅茶, 340ml, 120罐",2,"TACO 檸檬冰茶, 1kg, 1包, 2包",2,"無糖水蜜桃冰茶沖泡飲隨身包, 15g, 10條, 4盒",2
冰茶,10,"TIO 桃子冰茶隨身包, 13g, 18包, 2盒",2,"冰茶桃, 14g, 40條, 3盒",2,"無糖水蜜桃冰茶沖泡飲隨身包, 15g, 10條, 5盒",2
冷壓初榨,1,"JCI 艾欖 西班牙特級冷壓初榨橄欖油, 1L, 1瓶",2,"冷壓初榨酪梨油, 500ml, 1個",2,"冷壓特級初榨橄欖油 檸檬味, 250ml, 1個",2
冷壓初榨,2,"BOSTOCK 頂級冷壓初榨酪梨油, 250ml, 1瓶",2,"特級冷壓初榨橄欖油, 500ml, 1瓶",2,"初榨橄欖油, 1個, 1L",2
冷壓初榨,3,"totally kiwi 冷壓初榨亞麻仁油, 250ml, 1瓶",2,"特級冷壓初榨橄欖油, 500ml, 3個",2,"冷壓初榨酪梨油, 1L, 1組",2
冷壓初榨,4,"totally kiwi 紐西蘭冷壓初榨亞麻仁油 柑橘, 250ml, 1瓶",2,"冷壓初榨酪梨油, 1L, 1組",2,"冷榨水梨汁 20包入, 1盒",2
冷壓初榨,5,"TOMOliving 友好生活 冷壓初榨純苦茶油, 255ml, 1瓶",2,"咖啡冷壓特級初榨橄欖油, 250ml, 1個",2,"plenty 沛蘭緹 冷壓初榨核桃油, 375ml, 3瓶",2
冷壓初榨,6,"KIRKLAND 科克蘭 冷壓初榨橄欖油, 2L, 1個",2,"Haepyo 冷壓初榨橄欖油, 250ml, 1瓶",2,"冷榨水梨汁 10包入, 1L, 2盒",2
冷壓初榨,7,"totally kiwi 紐西蘭冷壓初榨亞麻仁油 蒜香, 250ml, 1瓶",2,"now 特級冷壓初榨芝麻油, 1個, 250ml",2,"鮮榨檸檬汁, 1000ml, 4個",2
冷壓初榨,8,"冷壓初榨酪梨油, 1L, 1組",2,"特級初榨冷壓橄欖油+特級初榨冷榨酪梨油禮盒, 1套",2,"鮮榨檸檬汁, 1000ml, 5個",2
冷壓初榨,9,"totally kiwi 冷壓初榨亞麻仁油, 250ml, 2瓶",2,"COCOCARE 冷壓初榨椰子油, 500ml, 1罐",2,"冷壓初榨酪梨油, 500ml, 1個",2
冷壓初榨,10,"CO'DAY 好日籽 100%鮮榨頂級苦茶油, 500ml, 1瓶",2,"BADIA 特級初榨冷壓橄欖油, 1入, 100ml",2,"咖啡冷壓特級初榨橄欖油, 250ml, 1個",2
即食飯,1,"OTTOGI 不倒翁 即食米飯, 210g, 12個",2,"The Mi Shik 即食白飯 3入+即食五穀飯 3入+即食糙米飯 3入+即食紫米飯 3入, 1組",2,"即食牛肉拌飯, 110g, 20個",2
即食飯,2,"OTTOGI 不倒翁 即食五穀飯, 210g, 6個",2,"The Mi Shik 即食白飯 3入+即食五穀飯 3入+即食糙米飯 3入+即食紫米飯 3入, 2組",2,"The Mi Shik 即食白飯 3入+即食五穀飯 3入+即食糙米飯 3入+即食紫米飯 3入, 2組",2
即食飯,3,"OTTOGI 不倒翁 即食白飯, 150克, 6盒",2,"孩童即食飯, 3入, 小米飯口味, 140g",2,"即食韓式泡菜拌飯, 100g, 2包",2
即食飯,4,"gomgom 即食白飯, 200g, 10入",2,"即食米飯, 210g, 12入",2,"孩童即食飯, 6入, 140g, 香軟口感",2
即食飯,5,"OTTOGI 不倒翁 即食黑米雜糧飯, 3入, 210g",2,"孩童即食飯, 15入, 小米飯口味, 140g",2,"即食義大利燉飯, 1包, 227g",2
即食飯,6,"OTTOGI 不倒翁 即食米飯, 210g, 24個",2,"孩童即食飯, 9入, 小米飯口味, 140g",2,"孩童即食飯, 12入, 140g, 香軟口感",2
即食飯,7,"OTTOGI 不倒翁 即食糙米雜糧飯, 3入, 210g",2,"OTTOGI 不倒翁 即食白米飯210g 12入+即食糙米飯150g 12入組, 24入",2,"即食蘑菇拌飯, 100g, 2包",2
即食飯,8,"gomgom 微波即食珍貴雜糧飯, 210g, 12個",2,"即食白米飯, 60g, 3包",2,"孩童即食飯, 15入, 140g, 香軟口感",2
即食飯,9,"OTTOGI 不倒翁 即食紫米飯, 210g, 6入",2,"即食蒟蒻糙米飯, 150g, 5個",2,"Easybab 即食韓式牛肉拌飯, 120g, 1包",2
即食飯,10,"gomgom 即食白飯, 200g, 20入",2,"即食蒟蒻飯, 170g, 20包",2,"孩童即食飯, 18入, 140g, 香軟口感",2
卸眼唇,1,"ETUDE 好純淨眼唇卸妝液, 320ml, 1入",2,"眼唇卸妝液, 100ml, 1個",2,"眼唇卸妝液, 100ml, 1瓶",2
卸眼唇,2,"innisfree 蘋果籽眼唇卸妝液, 100ml, 1瓶",2,"眼唇卸妝液, 100ml, 1瓶",2,"眼唇卸妝液, 100ml, 2件",2
卸眼唇,3,"Ariel 舒緩膠束眼唇卸妝液, 300ml, 2瓶",2,"眼唇卸妝液, 250ml, 1瓶",2,"Biore 蜜妮 高效活性眼唇卸妝液, 130ml, 1瓶",2
卸眼唇,4,"ENPRANI 保濕眼唇卸妝液, 100ml, 1個",2,"眼唇卸妝液, 100ml, 2件",2,"Bifesta 碧菲絲特 眼唇卸妝液, 3瓶, 145ml",2
卸眼唇,5,"POND'S 旁氏 深層潔淨眼唇Spa卸妝液, 120ml, 3瓶",2,"Sroum 保濕洗卸兩用泡沫洗面乳, 145ml, 1組",2,"IASO 溫和眼唇卸妝液, 110ml, 1個",2
卸眼唇,6,"Etude 睫毛膏卸妝液, 80ml, 2入",2,"BLANC DIVA 溫和洗卸泡沫潔面乳 150ml, 1瓶",2,眼唇卸妝墊,2
卸眼唇,7,"TONYMOLY 潔淨眼唇卸妝液, 250ml, 1瓶",2,"NARD 深層清潔眼脣卸妝液, 500ml, 1瓶",2,"A'pieu 礦物溫和眼唇卸妝液, 250ml, 4瓶",2
卸眼唇,8,"LA ROCHE POSAY 理膚寶水 高效溫和眼部卸妝液, 125ml, 1瓶",2,"ORJENA 膠原蛋白肌膚緊緻卸妝水, 300ml, 1瓶",2,"Dr. G 深層眼唇卸妝液, 120ml, 2瓶",2
卸眼唇,9,"L'OCEAN 眼唇卸妝液, 100ml, 1瓶",2,"眼唇卸妝墊, 60g, 2個",2,"伊蒂之屋眼唇卸妝液, 250ml, 2個",2
卸眼唇,10,"RNW 透明溫和眼唇卸妝液, 120ml, 1組",2,"BIONISTA 無香料高保濕緊緻卸妝水, 500ml, 1瓶",2,"MERZY 莓果眼唇卸妝液, 210ml, 8瓶",2
去污清潔劑,1,"潔霜 S浴廁專用清潔劑, 650g, 3瓶",2,"Wishio 磁磚清潔劑去污清潔劑, 800ml, 1個",2,"清潔劑, 450ml, 1瓶",2
去污清潔劑,2,"Astonish 除黴去污清潔劑, 750ml, 2瓶",2,"Astonish 除黴去污清潔劑, 750ml, 2瓶",2,"清潔實驗室多用途清潔劑 480ml + 多用途清潔劑補充裝 1.5L, 6套",2
去污清潔劑,3,"妙管家 水垢殺手 清潔劑, 750g, 2瓶",2,"Astonish 除黴去污清潔劑, 750ml, 3瓶",2,"更清潔和強大的污垢清潔劑, 180g, 4個",2
去污清潔劑,4,"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 2桶",2,"Astonish 除黴去污清潔劑, 750ml, 5瓶",2,"清潔實驗室多用途清潔劑 480ml + 多用途清潔劑補充裝 1.5L, 3套",2
去污清潔劑,5,"3M 魔利萬用去污劑 柑橘清香, 2700ml, 1瓶",2,"OMINO BIANCO 去污劑去污劑, 500毫升, 1個",2,"更清潔和強大的污垢清潔劑, 180g, 6個",2
去污清潔劑,6,"第一石鹼 Rookie 馬桶清潔劑, 500ml, 6瓶",2,"Slowway Scale 油垢去污清潔劑, 4個, 150ml",2,"清潔實驗室多功能清潔劑, 480ml, 12個",2
去污清潔劑,7,"ORANGE HOUSE 橘子工坊 家用清潔類浴廁清潔劑 兩用噴槍, 480ml, 2瓶",2,"Tamsaa 浴廁去污除垢泡沫噴霧清潔劑, 2口, 800ml",2,"生活方式配方強力清潔多用途清潔劑, 3個, 500ml",2
去污清潔劑,8,"加倍潔 過碳酸鈉去污粉, 600g, 2包",2,"Astonish 除黴去污清潔劑 青蘋果香, 750ml, 1瓶",2,"原廠多用途清潔劑, 4.25L, 1桶",2
去污清潔劑,9,"Mr Muscle 威猛先生 玻璃清潔劑 加侖桶, 3785ml, 1桶",2,"噴霧去污劑和洗衣粉, 300ml, 1個",2,"去除污垢和異味洗衣機清潔劑 6p, 4個, 78g",2
去污清潔劑,10,"清淨海 檸檬泡泡水垢清潔液, 400g, 1瓶",2,"Kao 花王 Magiclean 魔術靈 馬桶去污抗菌清潔劑, 500ml, 2瓶",2,"清潔實驗室多用途清潔劑補充裝, 1.5L, 2個",2
反光飾片,1,"Lifesalim 拍攝圓形反光板 60cm, 1個, 單品",2,"車門反光防撞貼 4入+反光貼 12入, 1套, 黑色（門衛）、銀色（反光貼）",2,"ANTS 汽車防護反光裝飾貼紙 藍色, 2件",2
反光飾片,2,"Lifesalim 拍攝圓形反光板 80cm, 1個, 單品",2,"車門反光防撞貼 4入+反光貼 12入, 黑色（門衛）、銀色（反光貼）, 1套",2,"夜光裝飾貼紙 6入 2組, BS-220",2
反光飾片,3,"Lifesalim 拍攝圓形反光板 110cm, 1個, 單品",2,"RACETECH K5 後備箱反光貼 銀色反光, 1個",2,"ANTS 車門反光安全貼紙, 4件",2
反光飾片,4,"DAEHAN 攝影用反光紙, 單品（銀）, 4個",2,"反光貼紙碳環氧反光彎A型套組, 1套, 紅色",2,"夜光裝飾貼紙 CS-344 2入, 單一顏色",2
反光飾片,5,"DAEHAN 3色攝影反光板 L, 單品, 2個",2,"初學者駕駛反光磁貼圓形2p+反光紙紙套組, 22, 1套",2,"汽車安全距離維護反光貼紙 FS-2210, 300mmX40mm, 1個",2
反光飾片,6,"多功能背景布反光板夾, 1個, CP-DH-15",2,"PET反光膠帶反光貼紙100mm X 10M 1個, 黃色/黑色對角線",2,"ANTS 車門反光安全貼紙 藍色, 4件",2
反光飾片,7,"Plthink 優質反光板夾支架, PL-6860, 1組",2,"RACETECH 開拓者後備箱反光貼反光貼紅色, 紅色反射",2,"汽車化妝汽車反光貼紙銀色0.5cm, 銀色, 1個",2
反光飾片,8,"SKORA 安全警示反光貼紙長方形18張+箭頭18張, 黃色",2,"反光貼紙碳環氧反光日期B型套組, 氖, 1套",2,"Katem Maxcruz 反光貼花貼紙, 1組",2
反光飾片,9,"aurora Lite Bank 拍攝用圓形反光板 60cm, LD60S/W, 1個",2,"初學者駕駛反光磁貼長方形中號+反光紙套組, 1套, 23",2,"汽車安全距離維護反光貼紙 FS-2210, 950 x 126 毫米, 1個",2
反光飾片,10,"攜帶式拍攝用反光鏡 NO.1 金+銀色, 1個, 單品",2,"初學者駕駛反光磁貼長方形大號+反光紙套組, 1套, 34",2,"ANTS 車門反光安全貼紙 紅色, 4件",2
吊夾架,1,"auvil 穿孔線架吊頂片小, 銀, 1個",2,"方形多夾架綠色, 7個",2,"Homevanesse 多用途旋轉夾吊架, 1個, 橘色",2
吊夾架,2,"免鑽掛鉤，無需彗星釘即可安裝, 2個, 白色",2,"JCP 圓形多夾架 黃色, 7個",2,"iMate 雙向夾具吊架, 透明, 4個",2
吊夾架,3,"HICKIES 夾鉤 LH50, 單色, 2個",2,"POWER RACK 廚房收納夾架, 1個",2,"多軌線架吊架組, 黑色的, 2套",2
吊夾架,4,"Kotech 簡易架子插釘, 單色, 8個",2,"Bswan 自動磁性眼平夾架, 1個",2,"Zihu 簡單線條鋼多吊架, 白色的",2
吊夾架,5,"iMate 雙向夾具吊架, 透明, 4個",2,"畫框吊鉤繩 2M, 單色, 6入",2,"市場計劃 一件式多用途不銹鋼夾具吊架標準型, 20個, 黑色",2
吊夾架,6,"S&Q多用途夾式掛鉤吊架, 6個, 單色",2,"不鏽鋼吊掛式碗盤架, 單色",2,"木質5孔吊架式, 1個, 黑色",2
吊夾架,7,"市場計劃 一件式多用途不銹鋼夾具吊架標準型, 20個, 薄荷",2,"THE LIVING 多用途不鏽鋼吊掛夾, 銀色, 10入",2,"吊鉤夾子 黑色, 30個",2
吊夾架,8,"Homevanesse 多用途旋轉夾吊架, 1個, 橘色",2,"LUCIRODA 吊帶式網狀揹帶, 灰色",2,"WHASHIN 夾吊架包金10p +甜甜圈夾子箱隨機運輸10p, 1套",2
吊夾架,9,"Kaya Life 保利塔卡衣架KL-546, 1個",2,"SANGSANGHOO 伸縮桿+吊環夾6入套組, 白色",2,"立式立柱吊架 可拆卸立柱吊架, 黑色的",2
吊夾架,10,"多功能吊架4件組, 16個, 橙色、墨綠色、深藍色、黃色",2,"JOY MULTI 攜帶式吊帶揹帶, 海軍藍(粉色)",2,"管內吊管L型二層吊架B005, 深灰色, 1個",2
吸附灰塵,1,"威拂 魔撢補充包 12片, 粉色, 1盒",2,"Mins Living 灰塵去除大量隨機發送, 2件",2,"吸塵器除塵套裝, 混色, 1組",2
吸附灰塵,2,"驅塵氏 防螨除塵紙, 3包",2,"吸附式壁鉤, 透明, 5入",2,"吸塵器清潔套組, 1個",2
吸附灰塵,3,"驅塵氏 乾濕鑽石拖把組, 鑽石乾濕拖 + 除塵紙 20 x 28.5cm 5張 + 抗菌濕拖巾 20 x 28.5cm 5張, 1組",2,"everybot 3i真空吸塵器大量的灰塵, 單品, 1個",2,"DIAN 吸吮吸塵器+靜電清潔布10張套組, 1套",2
吸附灰塵,4,"家簡塵除 伸縮地板黏塵拖補充包 3捲入, 1包",2,"Interpop吸附式生活收納籃2p, 綠色",2,"河綠超細纖維吸塵器橙+綠, 混色, 1套",2
吸附灰塵,5,"家簡塵除 超大地板黏塵拖補充包, 1包",2,"KOXINA 多吸附環棒, 混色, 1個",2,"大型演出用乾濕兩用吸塵器 15L GVL-015LS, 黑色+橙色",2
吸附灰塵,6,"NEXCLEANS 舞水痕 除塵吊扇刷 32.5*120cm, 1組",2,"STAFIX 吸附皂漆, 單色, 1個",2,"EX-POWER Industrial 1600W 乾濕兩用吸塵器 20L EVC-20, 黑+白+藍",2
吸附灰塵,7,"Kao 花王 Magiclean 魔術靈 捷淨美學 乾濕兩用拖把, 1盒",2,"aryko 吸附式肥皂架橢圓形, 銀, 3個",2,"Dibea 無線吸塵器床鋪灰塵吸頭, 單品, 1個",2
吸附灰塵,8,"家簡塵除 伸縮地板黏塵拖補充包 3捲入, 4包",2,"河綠色可愛吸附簡易衣架, 白色的, 2件",2,"NEXKO 營業用吸塵器, (20L) 商用吸塵器 HNV-20LC",2
吸附灰塵,9,"3M Scotch-Brite 百利 妙用擦, 3包",2,"Block Mart 吸附式室內鞋架收納架, 1個",2,"生活通吸塵器, 1個",2
吸附灰塵,10,"novopin 除塵墊片 25 x 20cm 3個, 1盒",2,"Saenghwalgongsik 吸附式棉絨除塵滾筒, 白色的, 1個",2,"DIWORTH 攜帶式迷你桌面吸塵器, 白色, CL-C500",2
咖啡拿鐵,1,"GEORGIA 喬亞 滴濾拿鐵咖啡, 350ml, 24瓶",2,"LOOKAS9 拿鐵三件套, 拿鐵 30入+雙倍拿鐵 30入+香草拿鐵 30入, 1組",2,"咖啡豆 香草拿鐵 杯咖啡, 300ml, 10個",2
咖啡拿鐵,2,"貝納頌 原味拿鐵, 375ml, 24入",2,"Namyang 南陽乳業 拿鐵4號禮盒, 拿鐵 + 雙倍拿鐵 + 香草拿鐵 + 獨家馬克杯, 1套",2,"咖啡豆香草拿鐵袋咖啡, 190ml, 20個",2
咖啡拿鐵,3,"ucc AROMA艾洛瑪拿鐵, 500ml, 24瓶",2,"aLIST Twosome Place綜合風味咖啡禮盒組 11號款, 1組, 黑咖啡 22g +溫和混合咖啡 11g+香草拿鐵 160g+拿鐵咖啡 200g",2,"鮮一杯 老舊金山拿鐵咖啡二合一, 12g, 50包, 4盒",2
咖啡拿鐵,4,"貝納頌 三合一咖啡 經典拿鐵, 20g, 25包, 1盒",2,"Binggrae 咖啡 拿鐵, 240ml, 5瓶",2,"咖啡豆香草拿鐵袋咖啡, 190ml, 30個",2
咖啡拿鐵,5,"光泉 午后時光 重乳咖啡拿鐵, 330ml, 24入",2,"KANU 拿鐵咖啡禮盒 7-1號, 拿鐵138.4g 2入+香草拿鐵138.4g 2入+不銹鋼馬克杯, 1組",2,"鮮一杯 老舊金山拿鐵咖啡二合一, 12g, 50包, 6盒",2
咖啡拿鐵,6,"鮮一杯 老舊金山拿鐵咖啡三合一, 12g, 50入, 1盒",2,"Maxim T.O.P拿鐵咖啡, 30罐, 200ml",2,"鮮一杯 老舊金山拿鐵咖啡二合一, 12g, 50包, 1盒",2
咖啡拿鐵,7,"鮮一杯 老舊金山拿鐵咖啡二合一, 12g, 50包, 1盒",2,"盛香珍 拿鐵咖啡脆捲, 210g, 3盒",2,"鮮一杯 老舊金山拿鐵咖啡三合一, 12g, 50入, 5盒",2
咖啡拿鐵,8,"GEORGIA 喬亞 滴濾拿鐵咖啡, 350ml, 48瓶",2,"貝納頌 拿鐵咖啡, 210ml, 24罐",2,"鮮一杯 3合1拿鐵咖啡, 240g, 4盒",2
咖啡拿鐵,9,"KANU 漸層奶香雙拿鐵咖啡, 13.5g, 10條, 1盒",2,"盛香珍 拿鐵咖啡脆捲, 210g, 4盒",2,"a cafe la 榛果美式冰咖啡隨身包, 230ml, 20包",2
咖啡拿鐵,10,"NESCAFE 雀巢咖啡 Dolce Gusto 多趣酷思 星巴克拿鐵咖啡膠囊 咖啡5.5g 6顆 + 牛奶16g 6顆, 3盒, 129g",2,"Binggrae 咖啡, 香草拿鐵, 240ml, 6瓶",2,"鮮一杯 老舊金山二合一拿鐵咖啡, 20g, 12包, 6盒",2
噴霧分裝瓶,1,"MEKO 不透光分裝噴槍瓶 200ml, 白色, 2瓶",2,"噴霧分裝瓶 80ml, 混色, 1個",2,"噴霧分裝瓶 80ml, 混色, 1個",2
噴霧分裝瓶,2,"MEKO 不透光分裝噴瓶 60ml, 白色, 3個",2,"噴霧分裝瓶, 黑色噴頭, 10入",2,"噴霧分裝瓶, 棕色瓶子, 20入",2
噴霧分裝瓶,3,"台灣 COSMOS 噴瓶 200ml #JM174, 透明色, 3個",2,"噴霧分裝瓶, 白色噴頭, 30入",2,"噴霧分裝瓶, 棕色瓶子, 50入",2
噴霧分裝瓶,4,"台灣 COSMOS PE噴槍瓶 50ml, 透明色, 3個",2,"噴霧分裝瓶, 白色噴頭, 60入",2,"化妝品分裝噴霧瓶 100ml, 透明度, 2件",2
噴霧分裝瓶,5,"MEKO 啞光分裝噴瓶 60ml, 3個",2,"噴霧分裝瓶, 白色噴頭, 20入",2,"素色香水噴霧分裝瓶 8ml, 1個, 深紅",2
噴霧分裝瓶,6,"MEKO 啞光分裝長嘴噴瓶 100ml, 3個",2,"噴霧分裝瓶, 透明噴頭, 10入",2,"鋁製噴霧式分裝瓶 30ml, 黑色, 4瓶",2
噴霧分裝瓶,7,"MEKO 不透光分裝噴槍瓶 500ml, 2個",2,"噴霧分裝瓶, 白色噴頭, 50入",2,"化妝品按壓分裝噴霧瓶 20ml, 白色的, 10個",2
噴霧分裝瓶,8,"台灣 COSMOS PE不透光噴槍瓶 #318WT 100ml, 3個",2,"噴霧分裝瓶, 白色噴頭, 40入",2,"鋁製噴霧式分裝瓶 30ml, 白色, 6瓶",2
噴霧分裝瓶,9,"台灣 COSMOS 噴瓶 200ml #JM174, 透明色, 4個",2,"CHILSUNG 噴霧分裝瓶 50ml, 混色, 4入",2,"噴霧瓶, 5入",2
噴霧分裝瓶,10,"MEKO 不透光分裝噴槍瓶 200ml, 白色, 3瓶",2,"噴霧分裝瓶, 棕色瓶子, 30入",2,"按壓式噴霧瓶, 白色透明, 1個",2
